ime_segmenta,popunjena_memorija,popunjen,perzistentan
wal1,200,1,0
wal2,154,1,0
wal3,154,1,0
wal4,154,1,0
wal5,154,1,0
wal6,154,1,0
wal7,156,1,0
wal8,157,1,0
wal9,38,1,0
wal10,42,1,0
wal11,35,1,0
wal12,150,1,0
wal13,153,1,0
wal14,157,1,0
wal15,187,1,0
wal16,156,1,0
wal17,150,1,0
wal18,153,1,0
wal19,153,1,0
wal20,157,1,0
wal21,150,1,0
wal22,153,1,0
wal23,157,1,0
wal24,150,1,0
wal25,155,1,0
wal26,159,1,0
wal27,154,1,0
wal28,155,1,0
wal29,159,1,0
wal30,154,1,0
wal31,155,1,0
wal32,159,1,0
wal33,154,1,0
wal34,155,1,0
wal35,159,1,0
wal36,155,1,0
wal37,154,1,0
wal38,173,1,0
wal39,160,1,0
wal40,160,1,0
wal41,184,1,0
wal42,184,1,0
wal43,184,1,0
